FID,Price,constant,Living,quality,structure,renovation,condiction,greenspace,Traffic,VIEW,Time,X,Y
0,12.328290000000001,1.000000000000000,0.148714000000000,0.209074000000000,0.250000000000000,0.500000000000000,0.333333000000000,0.000000000000000,0.333333000000000,0.336538000000000,37951.000000000000000,439542.886738999980000,5598242.529360000000000
1,12.534058999999999,1.000000000000000,0.368753000000000,0.164102000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.666667000000000,0.019231000000000,37600.000000000000000,435349.919493000020000,5609801.479286000100000
2,12.921469999999999,1.000000000000000,0.314410000000000,0.090522000000000,0.750000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.028846000000000,38135.000000000000000,436882.111243000020000,5605366.511955999800000
3,12.089539000000000,1.000000000000000,0.102426000000000,0.119324000000000,0.250000000000000,0.000000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.211538000000000,37991.000000000000000,441028.860197999980000,5598450.498430999900000
4,12.314927000000001,1.000000000000000,0.238476000000000,0.216503000000000,0.250000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.666667000000000,0.096154000000000,37854.000000000000000,434090.729943000010000,5609800.137915999600000
5,12.676076000000000,1.000000000000000,0.540757000000000,0.365593000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.317308000000000,37812.000000000000000,434935.029191999990000,5607837.594720000400000
6,12.487485000000000,1.000000000000000,0.319748000000000,0.167203000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.057692000000000,37824.000000000000000,430965.759939000010000,5610224.373890999700000
7,12.025748999999999,1.000000000000000,0.154779000000000,0.058530000000000,0.250000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.250000000000000,38118.000000000000000,438349.587875000030000,5609030.282417000300000
8,12.948010000000000,1.000000000000000,0.390587000000000,0.225565000000000,0.750000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.038462000000000,37833.000000000000000,430890.344931999980000,5610183.731309000400000
9,12.604849000000000,1.000000000000000,0.401262000000000,0.192750000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.086538000000000,37846.000000000000000,433677.792216999980000,5601098.812819999600000
10,12.653957999999999,1.000000000000000,0.305677000000000,0.180054000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.600000000000000,0.000000000000000,0.057692000000000,38164.000000000000000,432875.620936000020000,5601419.110592000200000
11,12.579359000000000,1.000000000000000,0.172489000000000,0.251840000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.666667000000000,0.480769000000000,38117.000000000000000,435864.987871000020000,5604055.907991999800000
12,12.542187999999999,1.000000000000000,0.150655000000000,0.278654000000000,0.250000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.384615000000000,37743.000000000000000,436218.729918000000000,5607073.418886999600000
13,11.870600000000000,1.000000000000000,0.128093000000000,0.136658000000000,0.250000000000000,0.166667000000000,0.666667000000000,0.000000000000000,0.666667000000000,0.375000000000000,37606.000000000000000,437705.648537000000000,5606710.677659999600000
14,12.052339000000000,1.000000000000000,0.131732000000000,0.131602000000000,0.250000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.333333000000000,0.076923000000000,37734.000000000000000,442638.080136000000000,5594491.372487000200000
15,12.254863000000000,1.000000000000000,0.244784000000000,0.176387000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.038462000000000,37740.000000000000000,433812.330246999980000,5610402.270459000000000
16,12.305465000000000,1.000000000000000,0.269772000000000,0.156256000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.038462000000000,37694.000000000000000,433987.936713000000000,5610559.256436999900000
17,12.445090000000000,1.000000000000000,0.298156000000000,0.232164000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.028846000000000,37870.000000000000000,431160.856738000000000,5608243.744877000300000
18,12.417751000000001,1.000000000000000,0.347162000000000,0.172020000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.067308000000000,37951.000000000000000,431179.337783000020000,5606440.725625000000000
19,12.069680000000000,1.000000000000000,0.105774000000000,0.131351000000000,0.250000000000000,0.166667000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.057692000000000,37917.000000000000000,430941.377228999980000,5609132.490109999700000
20,12.318857000000000,1.000000000000000,0.169820000000000,0.157838000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.211538000000000,38145.000000000000000,442718.509407999980000,5593108.787438999900000
21,12.411052000000000,1.000000000000000,0.328967000000000,0.353090000000000,0.250000000000000,0.000000000000000,0.666667000000000,0.000000000000000,0.666667000000000,0.307692000000000,37539.000000000000000,434974.651514999980000,5608111.496992000400000
22,12.421184000000000,1.000000000000000,0.314410000000000,0.186434000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.028846000000000,37734.000000000000000,431619.988417999990000,5610363.652470000100000
23,12.611537999999999,1.000000000000000,0.271470000000000,0.295821000000000,0.500000000000000,0.166667000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.115385000000000,37775.000000000000000,440718.463629000010000,5596302.576868999700000
24,12.968045999999999,1.000000000000000,0.406114000000000,0.465943000000000,0.750000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.067308000000000,37909.000000000000000,442361.639195000000000,5595186.452205999800000
25,12.092344000000001,1.000000000000000,0.168122000000000,0.127615000000000,0.250000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.028846000000000,37525.000000000000000,433302.764333000000000,5610494.729468000100000
26,12.354493000000000,1.000000000000000,0.140466000000000,0.268742000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.666667000000000,0.403846000000000,38147.000000000000000,439167.630341999990000,5597623.952866000100000
27,12.296827000000000,1.000000000000000,0.259340000000000,0.167936000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.134615000000000,38042.000000000000000,433852.535862000020000,5609663.986355000200000
28,12.669807000000000,1.000000000000000,0.204270000000000,0.232261000000000,0.500000000000000,0.166667000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.096154000000000,37513.000000000000000,441889.232597999970000,5593184.787180000000000
29,13.102161000000001,1.000000000000000,0.533964000000000,0.397676000000000,0.750000000000000,1.000000000000000,1.000000000000000,0.600000000000000,0.000000000000000,0.105769000000000,38132.000000000000000,433837.931900999970000,5608845.377407999700000
30,12.661109000000000,1.000000000000000,0.426735000000000,0.240140000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.009615000000000,38140.000000000000000,431996.572354000000000,5605293.977276000200000
31,12.324908000000001,1.000000000000000,0.333819000000000,0.208611000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.019231000000000,37602.000000000000000,432109.241913000010000,5605260.699957000100000
32,12.660188000000000,1.000000000000000,0.200631000000000,0.274711000000000,0.500000000000000,0.166667000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.009615000000000,37999.000000000000000,442601.130234999990000,5591933.501439999800000
33,12.391514000000001,1.000000000000000,0.229985000000000,0.340670000000000,0.500000000000000,0.166667000000000,0.666667000000000,0.600000000000000,0.333333000000000,0.240385000000000,37441.000000000000000,434264.792473000010000,5608594.533046999900000
34,12.694653000000001,1.000000000000000,0.362203000000000,0.343339000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.182692000000000,38114.000000000000000,434294.465754000000000,5609066.944942999600000
35,12.437676000000000,1.000000000000000,0.296943000000000,0.164617000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.009615000000000,38120.000000000000000,432118.567620999990000,5604867.934481999800000
36,12.177529000000000,1.000000000000000,0.188743000000000,0.111747000000000,0.250000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.019231000000000,37488.000000000000000,431097.620537000010000,5609577.010470000100000
37,12.371587000000000,1.000000000000000,0.420427000000000,0.210425000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.115385000000000,37470.000000000000000,441916.213227999980000,5596161.674007999700000
38,12.441145000000001,1.000000000000000,0.188258000000000,0.256618000000000,0.250000000000000,0.500000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.403846000000000,37448.000000000000000,436296.930687999990000,5606682.544905999700000
39,12.577636000000000,1.000000000000000,0.205240000000000,0.284893000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.384615000000000,37859.000000000000000,435985.340400999990000,5607081.238316999700000
40,12.296827000000000,1.000000000000000,0.268316000000000,0.109342000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.028846000000000,37485.000000000000000,431292.330567000030000,5608304.476638000500000
41,12.333053000000000,1.000000000000000,0.300340000000000,0.171563000000000,0.250000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.019231000000000,37749.000000000000000,432282.309721999980000,5605091.499729000000000
42,12.301383000000000,1.000000000000000,0.291849000000000,0.144524000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.019231000000000,37700.000000000000000,431109.845405999980000,5608086.203396000000000
43,12.506176999999999,1.000000000000000,0.357108000000000,0.155677000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.019231000000000,38145.000000000000000,433040.950827000020000,5604643.732710000100000
44,12.240474000000001,1.000000000000000,0.206938000000000,0.155091000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.038462000000000,37623.000000000000000,431114.032420000000000,5610383.495587999900000
45,12.621487999999999,1.000000000000000,0.124454000000000,0.268633000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.471154000000000,38027.000000000000000,436853.186073000020000,5605383.252626000000000
46,12.345834999999999,1.000000000000000,0.335274000000000,0.186170000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.600000000000000,0.000000000000000,0.076923000000000,37772.000000000000000,431506.425814000020000,5609015.053231000000000
47,12.873901999999999,1.000000000000000,0.283115000000000,0.355354000000000,0.750000000000000,0.166667000000000,1.000000000000000,0.600000000000000,0.000000000000000,0.067308000000000,37461.000000000000000,430893.316276000000000,5606853.685619000300000
48,12.106252000000000,1.000000000000000,0.238476000000000,0.089577000000000,0.250000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.333333000000000,0.230769000000000,37929.000000000000000,433773.651428000010000,5608567.428361999800000
49,12.742566000000000,1.000000000000000,0.337215000000000,0.217043000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.019231000000000,38162.000000000000000,431789.484063000010000,5609685.301049999900000
50,12.603170000000000,1.000000000000000,0.383552000000000,0.262632000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.134615000000000,37748.000000000000000,434487.498618000010000,5609442.540931000400000
51,12.392552000000000,1.000000000000000,0.340320000000000,0.285787000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.134615000000000,37841.000000000000000,441374.727692999990000,5596303.199427999600000
52,12.380026000000001,1.000000000000000,0.066715000000000,0.283812000000000,0.000000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.666667000000000,0.557692000000000,37635.000000000000000,439145.752938000020000,5604951.976278999800000
53,11.979799000000000,1.000000000000000,0.169335000000000,0.053127000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.250000000000000,38159.000000000000000,432979.449032999980000,5608159.951483000100000
54,12.100712000000000,1.000000000000000,0.226589000000000,0.149554000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.057692000000000,37713.000000000000000,431376.860171000010000,5609052.660860000200000
55,12.250090000000000,1.000000000000000,0.309801000000000,0.205273000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.125000000000000,37895.000000000000000,441335.322981000000000,5597947.885547000000000
56,12.257241000000000,1.000000000000000,0.138768000000000,0.209042000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.432692000000000,38140.000000000000000,437767.877105000020000,5597485.434244999700000
57,12.421184000000000,1.000000000000000,0.176371000000000,0.227096000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.666667000000000,0.394231000000000,37896.000000000000000,435972.027546000030000,5606741.654923999700000
58,12.344529000000000,1.000000000000000,0.263464000000000,0.156449000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.067308000000000,37603.000000000000000,442386.382231000000000,5594079.527832999800000
59,12.230765000000000,1.000000000000000,0.138525000000000,0.271720000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.413462000000000,37567.000000000000000,438065.198380000020000,5597122.063400000300000
60,12.356646000000000,1.000000000000000,0.156477000000000,0.245678000000000,0.250000000000000,0.166667000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.384615000000000,38113.000000000000000,437764.736902999980000,5606693.138998000000000
61,12.393382000000001,1.000000000000000,0.259583000000000,0.156262000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.048077000000000,38167.000000000000000,431348.083082999980000,5609243.581941000200000
62,12.969212000000001,1.000000000000000,0.531538000000000,0.317277000000000,0.750000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.144231000000000,37538.000000000000000,433696.228542000000000,5602936.805127999700000
63,12.771386000000000,1.000000000000000,0.452450000000000,0.341969000000000,0.750000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.134615000000000,37824.000000000000000,433969.692687999980000,5603915.907982000100000
64,12.587928000000000,1.000000000000000,0.317807000000000,0.089879000000000,0.500000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.076923000000000,37502.000000000000000,438415.316243999990000,5600470.556749000200000
65,12.354493000000000,1.000000000000000,0.325328000000000,0.173686000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.028846000000000,37756.000000000000000,433980.535103000000000,5610555.351429999800000
66,12.524526000000000,1.000000000000000,0.445124000000000,0.330803000000000,0.500000000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.173077000000000,38154.000000000000000,432376.666758999990000,5608422.887659000200000
67,12.193493999999999,1.000000000000000,0.139253000000000,0.380528000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.666667000000000,0.423077000000000,38054.000000000000000,439162.118804000030000,5598130.078245000000000
68,12.983655000000001,1.000000000000000,0.450267000000000,0.291839000000000,0.750000000000000,1.000000000000000,1.000000000000000,0.200000000000000,0.000000000000000,0.019231000000000,37747.000000000000000,435127.721269999980000,5610443.334193999900000
69,12.206073000000000,1.000000000000000,0.136099000000000,0.209074000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.432692000000000,37896.000000000000000,439428.702687999990000,5598787.470216000500000
70,12.388394000000000,1.000000000000000,0.376031000000000,0.275290000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.144231000000000,37463.000000000000000,441388.975288000020000,5596187.065654000300000
71,12.110635000000000,1.000000000000000,0.195536000000000,0.148274000000000,0.250000000000000,1.000000000000000,0.333333000000000,0.400000000000000,1.000000000000000,0.019231000000000,37509.000000000000000,432080.861648000020000,5609338.050049000400000
72,12.319400999999999,1.000000000000000,0.280204000000000,0.165228000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.333333000000000,0.153846000000000,37847.000000000000000,440790.811537000000000,5598175.456926999600000
73,12.660010000000000,1.000000000000000,0.406114000000000,0.225263000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.019231000000000,37704.000000000000000,432147.090716000010000,5610099.112003000500000
74,12.509874000000000,1.000000000000000,0.367783000000000,0.352936000000000,0.500000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.240385000000000,37512.000000000000000,435466.660979999990000,5607918.063656000400000
75,12.211060000000000,1.000000000000000,0.108200000000000,0.325709000000000,0.250000000000000,0.166667000000000,0.333333000000000,0.600000000000000,0.000000000000000,0.461538000000000,38002.000000000000000,438674.177541000010000,5606832.808473000300000
76,12.301383000000000,1.000000000000000,0.272198000000000,0.418515000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.067308000000000,37685.000000000000000,441161.916894999970000,5596566.319198000200000
77,12.072540999999999,1.000000000000000,0.159146000000000,0.100073000000000,0.250000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.317308000000000,37704.000000000000000,437837.715996999990000,5596625.916079999900000
78,12.005606999999999,1.000000000000000,0.159631000000000,0.087364000000000,0.250000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38115.000000000000000,444616.706953999990000,5593373.300470000100000
79,12.242887000000000,1.000000000000000,0.219068000000000,0.264922000000000,0.250000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.259615000000000,37945.000000000000000,433105.236278000000000,5608086.625102000300000
80,12.043554000000000,1.000000000000000,0.176856000000000,0.080791000000000,0.250000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.333333000000000,0.230769000000000,37574.000000000000000,437496.685814000030000,5609131.008042999500000
81,12.100156000000000,1.000000000000000,0.180980000000000,0.280719000000000,0.250000000000000,0.166667000000000,0.666667000000000,0.000000000000000,0.000000000000000,0.442308000000000,37508.000000000000000,439064.824477999990000,5606499.783792999600000
82,12.691580000000000,1.000000000000000,0.238962000000000,0.134304000000000,0.250000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.894231000000000,37816.000000000000000,437570.660993000030000,5603612.699729000200000
83,13.190022000000001,1.000000000000000,0.514629000000000,0.312563000000000,0.500000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.000000000000000,0.692308000000000,37868.000000000000000,437581.550064000010000,5603923.601007999900000
84,12.374696999999999,1.000000000000000,0.356623000000000,0.203594000000000,0.250000000000000,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.009615000000000,37699.000000000000000,430076.581446000030000,5606488.334102000100000
85,12.314479000000000,1.000000000000000,0.173945000000000,0.261989000000000,0.250000000000000,0.166667000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.451923000000000,37474.000000000000000,437996.055006999990000,5605934.484384999600000
86,12.219481999999999,1.000000000000000,0.215187000000000,0.077311000000000,0.250000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.009615000000000,38006.000000000000000,431039.187219000010000,5609747.905108000200000
87,12.285373999999999,1.000000000000000,0.235808000000000,0.095732000000000,0.250000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.009615000000000,38113.000000000000000,442849.330824000000000,5592256.893184999900000
88,12.078239000000000,1.000000000000000,0.163998000000000,0.136561000000000,0.250000000000000,1.000000000000000,0.333333000000000,0.000000000000000,0.333333000000000,0.240385000000000,38114.000000000000000,437668.349825999990000,5608931.250226000300000
